"","duration_in_seconds","response_id","user_language","consent","animal_type","animal_type_8_text","org_years","org_geographic_lvl","org_country","org_size","org_budget","org_budget_currency","org_budget_currency_5_text","org_mission","org_mission_4_text","country_focus","org_advocacy","org_advocacy_6_text","org_focus","org_focus_6_text","advocacy_diet","advocacy_diet_4_text","advocacy_corporate","advocacy_corporate_4_text","advocacy_policy","advocacy_policy_5_text","advocacy_inst","advocacy_inst_5_text","interest_diet","interest_diet_r1","interest_diet_r2","interest_corp","interest_corp_r1","interest_corp_r2","interest_policy","interest_policy_r1","interest_policy_r2","interest_inst","interest_inst_r1","interest_inst_r2","interest_direct","interest_direct_r1","interest_direct_r2","advocacy_satisfy_1","advocacy_satisfy_2","advocacy_satisfy_3","advocacy_satisfy_4","advocacy_satisfy_5","advocacy_satisfy_6","advocacy_satisfy_6_text","diet_dissatisfy","corporate_dissatisfy","policy_dissatisfy","insti_dissatisfy","direct_dissatisfy","other_dissatisfy","factors_importance_1","factors_importance_2","factors_importance_3","factors_importance_4","factors_importance_5","obstacles_1","obstacles_2","obstacles_3","obstacles_4","obstacles_5","obstacles_6","resources_1","resources_2","resources_3","resources_4","resources_5","resources_6","resources_7","resources_8","participant_role","participant_role_9_text","q_language","speed_limit","flag_speed"
"11",659,"R_2Cp5FxzGFIRjfrL","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Farmed aquatic animals (e.g., farmed fish, shrimp),Dogs/cats used for meat,Companion animals (e.g., dogs, cats raised as pets),Wild animals,Lab animals,Other captive animals (e.g. zoo animals, circus animals, etc.)","","More than 10 years","At the international level, operating across multiple regions (e.g., working on projects across North America, Latin America and Southeast Asia)","United States of America","Less than 1","300000","USD (United States Dollar)","","Animal rights: Advocates for the inherent rights of animals and seeks to end all forms of exploitation and abuse","","","Individual diet outreach, vegan/vegetarian advocacy, and education","","","","Other (please specify)","Documentary films","","","","","","","","","","Somewhat uninterested","We are focused on individuals making diet changes, corporations will follow.","","Very uninterested","We have zero faith in the government.","","Somewhat interested","","We don’t feel it’s our strength.","Somewhat uninterested","It’s not our strength","","Somewhat satisfied","","","","","","","","","","","","","Very important","Very important","Not at all important","Very important","Very important","Somewhat of an obstacle","Somewhat of an obstacle","Very much an obstacle","Very much an obstacle","Very much an obstacle","Very much an obstacle","Very useful","Very useful","Very useful","Somewhat useful","Very useful","Very useful","Very useful","Somewhat useful","Strategy & organisational oversight,Program, policy & external affairs,Fundraising & grants,Marketing and communications,Operations,Research & analytics","","EN",267.666666666667,FALSE
"12",1000,"R_OjnZsmq1JvjTpUR","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Companion animals (e.g., dogs, cats raised as pets)","","3-5 years","At the national level, operating almost exclusively within a single country","Kenya","1-5","20000","USD (United States Dollar)","","Mixed: Combines ideas related to both welfare and rights","","Kenya","Individual diet outreach, vegan/vegetarian advocacy, and education,Policy campaigns (e.g., lobbying national, state, or local government),Institutional campaigns (e.g., working with schools, prisons, etc.),Direct work (e.g., rescues, veterinary care, sanctuaries)","","Individual diet outreach, vegan/vegetarian advocacy, and education","","In-person/street advocacy,Online campaigns ,Community events/workshops","","","","Cage-free/crate-free legislation or regulations,Other legislation or regulations related to farmed animal welfare,Legislation or regulations related to plant-based food labelling,Legislation or regulations related to meat labelling","","Educating students/teachers in schools ,Working with educational institutions to increase vegan/vegetarian/higher welfare options,Working with hospitals to increase vegan/vegetarian/higher welfare options","","","","","Very interested","","We currently lack funds to implement","","","","","","","","","","Very satisfied","","Very satisfied","Very satisfied","Very satisfied","","","","","","","","","Very important","Very important","Very important","Very important","Very important","Very much an obstacle","Very much an obstacle","Very much an obstacle","Very much an obstacle","Very much an obstacle","Very much an obstacle","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Strategy & organisational oversight,Program, policy & external affairs,Volunteer management,Animal care","","EN",267.666666666667,FALSE
"13",554,"R_3flTWQOWWkLgPeM","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens)","","6-10 years","At the national level, operating almost exclusively within a single country","United States of America","Less than 1","30000","USD (United States Dollar)","","Mixed: Combines ideas related to both welfare and rights","","United States of America","Institutional campaigns (e.g., working with schools, prisons, etc.),Direct work (e.g., rescues, veterinary care, sanctuaries)","","Direct work (e.g., rescues, veterinary care, sanctuaries)","","","","","","","","Educating students/teachers in schools","","Somewhat uninterested","Vegans act so rude and crazy in general that it instantly turns off people to hear the V-word.  It seems more effective to let people arrive at the compassionate choice of their own volition.  Using the V word instantly discredits us/our mission in the eyes of the general public.","","Neutral","","","Somewhat uninterested","I worked in the legislative dept of a major animal welfare org for many years.  It was a lot of work with almost no payoff.  The few laws that we did see pass were either instantly overturned or diluted down into inefficacy","","","","","","","","","","","Somewhat satisfied","Somewhat satisfied","","","","","","","","","Not at all important","Somewhat important","Somewhat important","Very important","Somewhat important","Very much an obstacle","Somewhat of an obstacle","Very much an obstacle","Somewhat of an obstacle","Very much an obstacle","Very much an obstacle","Very useful","Very useful","Somewhat useful","Not at all useful","Not at all useful","Somewhat useful","Somewhat useful","Somewhat useful","Strategy & organisational oversight,Volunteer management,Operations,Animal care","","EN",267.666666666667,FALSE
"14",709,"R_diKDuiPGqj3KAcF","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Companion animals (e.g., dogs, cats raised as pets),Wild animals","","More than 10 years","At the national level, operating almost exclusively within a single country","Italy","Less than 1","","Euro","","Animal rights: Advocates for the inherent rights of animals and seeks to end all forms of exploitation and abuse","","Italy","Individual diet outreach, vegan/vegetarian advocacy, and education","","","","Online campaigns ,Community events/workshops","","","","","","","","","","","Somewhat interested","","It’s better non consume animals product","Somewhat interested","","I don’t understand well, if the campaign regard animals right I agree with that","Very interested","","I believe in cultural revolution","Very interested","","Work of veterinary is important sanctuary too, are places where animals can live out of logic of dominion","Very satisfied","","","","","","","","","","","","","Very important","Very important","Very important","Very important","Very important","Somewhat of an obstacle","Somewhat of an obstacle","Very much an obstacle","Somewhat of an obstacle","Very much an obstacle","Very much an obstacle","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Strategy & organisational oversight,Fundraising & grants,Volunteer management,Animal care","","EN",267.666666666667,FALSE
"15",1054,"R_9ntUXdkHJYnDkQx","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Companion animals (e.g., dogs, cats raised as pets),Wild animals","","3-5 years","At the regional level, operating in multiple countries within one region (e.g., within Asia, Africa, Europe, Latin America, Middle East and North Africa, North America, or Oceania)","Côte d'Ivoire","21-40","6670","USD (United States Dollar)","","Animal rights: Advocates for the inherent rights of animals and seeks to end all forms of exploitation and abuse","","","Individual diet outreach, vegan/vegetarian advocacy, and education,Institutional campaigns (e.g., working with schools, prisons, etc.)","","Institutional campaigns (e.g., working with schools, prisons, etc.)","","In-person/street advocacy,Community events/workshops","","","","","","Educating students/teachers in schools ,Working with educational institutions to increase vegan/vegetarian/higher welfare options","","","","","Very interested","","We are still pursueing this approach. My students sensitized many people about the right of animals.","Very interested","","Animals' protection and environment preservation are two parallels programs. Therefore we are working on it.","","","","Somewhat interested","","We are animals rights protectors in our community.","Somewhat satisfied","","","Very satisfied","","","","","","","","","","Very important","Very important","Very important","Somewhat important","Somewhat important","Somewhat of an obstacle","Somewhat of an obstacle","Not at all an obstacle","Not at all an obstacle","Not at all an obstacle","Very much an obstacle","Very useful","Very useful","Not at all useful","Somewhat useful","Very useful","Somewhat useful","Very useful","Very useful","Strategy & organisational oversight,Program, policy & external affairs,Volunteer management,Operations,Animal care","","EN",267.666666666667,FALSE
"16",1364,"R_vc3gcBiLw8OoF45","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Farmed aquatic animals (e.g., farmed fish, shrimp),Dogs/cats used for meat,Companion animals (e.g., dogs, cats raised as pets),Wild animals","","More than 10 years","At the regional level, operating in multiple countries within one region (e.g., within Asia, Africa, Europe, Latin America, Middle East and North Africa, North America, or Oceania)","Guinea,Liberia","11-20","","USD (United States Dollar)","","Animal welfare: Supports the improvement of animal well-being, humane treatment, and the prevention of suffering","","Liberia","Individual diet outreach, vegan/vegetarian advocacy, and education,Institutional campaigns (e.g., working with schools, prisons, etc.),Direct work (e.g., rescues, veterinary care, sanctuaries)","","Individual diet outreach, vegan/vegetarian advocacy, and education","","In-person/street advocacy,Community events/workshops","","","","","","Educating students/teachers in schools ,Working with educational institutions to increase vegan/vegetarian/higher welfare options","","","","","Very interested","","Lack of funding to effectively engage in corporate campaigns","Very interested","","More knowledge on how to go about it and needed resources","","","","","","","Very satisfied","","","Somewhat satisfied","Very satisfied","","","","","","","","","Very important","Very important","Very important","Very important","Very important","Very much an obstacle","Very much an obstacle","Very much an obstacle","Very much an obstacle","Somewhat of an obstacle","Very much an obstacle","Very useful","Very useful","Very useful","Somewhat useful","Very useful","Somewhat useful","Very useful","Very useful","Strategy & organisational oversight,Program, policy & external affairs,Fundraising & grants,Marketing and communications","","EN",267.666666666667,FALSE
"17",287,"R_2QG0kZW0QMvuvnB","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens)","","3-5 years","At the national level, operating almost exclusively within a single country","United States of America","Less than 1","10000","USD (United States Dollar)","","Animal welfare: Supports the improvement of animal well-being, humane treatment, and the prevention of suffering","","United States of America","Direct work (e.g., rescues, veterinary care, sanctuaries)","","","","","","","","","","","","Somewhat interested","","Our focus is on sanctuary/rescue, and we are a small sanctuary at this point.","Neutral","","","Somewhat uninterested","We take a more direct action for individual animals approach.","","Somewhat uninterested","Focus more on individual animals","","","","","","","","","Very satisfied","","","","","","","","","Very important","Not at all important","Not at all important","Somewhat important","Very important","Not at all an obstacle","Not at all an obstacle","Not at all an obstacle","Not at all an obstacle","Somewhat of an obstacle","Very much an obstacle","Very useful","Very useful","Not at all useful","Not at all useful","Not at all useful","Not at all useful","Not at all useful","Somewhat useful","Fundraising & grants,Operations,Animal care","","EN",267.666666666667,FALSE
"18",812,"R_1gROS0cteVpyjIW","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Dogs/cats used for meat,Companion animals (e.g., dogs, cats raised as pets),Wild animals,Other captive animals (e.g. zoo animals, circus animals, etc.)","","3-5 years","At the national level, operating almost exclusively within a single country","Nigeria","11-20","3000","USD (United States Dollar)","","Mixed: Combines ideas related to both welfare and rights","","Nigeria","Policy campaigns (e.g., lobbying national, state, or local government),Institutional campaigns (e.g., working with schools, prisons, etc.),Direct work (e.g., rescues, veterinary care, sanctuaries)","","Direct work (e.g., rescues, veterinary care, sanctuaries)","","","","","","Other legislation or regulations related to farmed animal welfare","","Educating students/teachers in schools ,Working with prisons to increase vegan/vegetarian/higher welfare options","","Very interested","","It's a very difficult campaign to embark on in  Nigeria due to the level of education, diversity and poverty gap, but we as an organization have been doing our best to campaign","Somewhat interested","","Difficult to incorporate all into one","","","","","","","","","","","","Neither satisfied nor dissatisfied","Very satisfied","Very satisfied","","","","","","","","","Very important","Somewhat important","Very important","Very important","Very important","Very much an obstacle","Very much an obstacle","Very much an obstacle","Not at all an obstacle","Very much an obstacle","Very much an obstacle","Very useful","Very useful","Very useful","Very useful","Somewhat useful","Very useful","Very useful","Very useful","Strategy & organisational oversight,Program, policy & external affairs,Fundraising & grants,Volunteer management,Operations,Research & analytics","","EN",267.666666666667,FALSE
"19",475,"R_2PzFRQQkkAEZpyw","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Farmed aquatic animals (e.g., farmed fish, shrimp),Dogs/cats used for meat","","1-2 years","At the national level, operating almost exclusively within a single country","Canada,United States of America","1-5","220000","USD (United States Dollar)","","Animal rights: Advocates for the inherent rights of animals and seeks to end all forms of exploitation and abuse","","Canada,United States of America","Individual diet outreach, vegan/vegetarian advocacy, and education,Institutional campaigns (e.g., working with schools, prisons, etc.)","","Individual diet outreach, vegan/vegetarian advocacy, and education","","In-person/street advocacy,Online campaigns ,Community events/workshops","","","","","","Educating students/teachers in schools ,Working with educational institutions to increase vegan/vegetarian/higher welfare options","","","","","Very uninterested","Our theory of change is to get vegans into influential positions and change the culture, and we think a clear, strong message of ending all animal abuse is most effective to this end.","","Somewhat interested","","We are totally open to it, and we expect some of our students will want to work on policy. In fact, we've put a few of our students in touch with a mission-aligned state senator.","","","","Very uninterested","The main way we have an impact is by influencing the wider culture.","","Very satisfied","","","Somewhat satisfied","","","","","","","","","","Very important","Very important","Somewhat important","Very important","Very important","Somewhat of an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Very much an obstacle","Very useful","Very useful","Somewhat useful","Somewhat useful","Very useful","Somewhat useful","Somewhat useful","Somewhat useful","Strategy & organisational oversight","","EN",267.666666666667,FALSE
"20",843,"R_5dLDzPApCdZzmJH","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens)","","3-5 years","At the regional level, operating in multiple countries within one region (e.g., within Asia, Africa, Europe, Latin America, Middle East and North Africa, North America, or Oceania)","China,India,Indonesia,Japan,Malaysia,Philippines,Singapore,Thailand","11-20","1100000","USD (United States Dollar)","","Animal welfare: Supports the improvement of animal well-being, humane treatment, and the prevention of suffering","","China,India,Indonesia,Japan,Malaysia,Philippines,Singapore,Thailand","Direct work (e.g., rescues, veterinary care, sanctuaries)","","","","","","","","","","","","Very uninterested","Because my work is focused on cage-free implementation for companies in Asia","","Very uninterested","We don't push for new policies, but help companies implement and fulfil","","Very uninterested","We have a different focus","","Very uninterested","Have a different focus","","","","","","","","","Very satisfied","","","","","","","","","Very important","Very important","Very important","Very important","Very important","Very much an obstacle","Not at all an obstacle","Very much an obstacle","Somewhat of an obstacle","Very much an obstacle","Very much an obstacle","Very useful","Very useful","Somewhat useful","Somewhat useful","Very useful","Not at all useful","Not at all useful","Not at all useful","Strategy & organisational oversight","","EN",267.666666666667,FALSE
"21",1345,"R_1NrVjbhwIrE3lJa","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Farmed aquatic animals (e.g., farmed fish, shrimp),Companion animals (e.g., dogs, cats raised as pets)","","3-5 years","At the national level, operating almost exclusively within a single country","Malawi","1-5","10000","USD (United States Dollar)","","Animal welfare: Supports the improvement of animal well-being, humane treatment, and the prevention of suffering","","Malawi","Institutional campaigns (e.g., working with schools, prisons, etc.)","","","","","","","","","","Educating students/teachers in schools","","Very interested","","lack of adequate funding to pursue the campaigns as they were intensive approaches inorder to create good awareness impact","Somewhat interested","","requires further skills and ample time to reach out to corporate raddar with their bureaucracies in gate keeping permissions","Somewhat interested","","it needs more courage and patience challenging political powers on the status quo and lobby for change. impact is not immediately measureable and difficult for a small organisation to give satisfactory accountability to sponsors/donors","","","","Somewhat interested","","we lack technical expertise in this area.we need to have qualified vet to be readily available","","","","Very satisfied","","","","","","","","","","Very important","Very important","Very important","Very important","Very important","Somewhat of an obstacle","Somewhat of an obstacle","Very much an obstacle","Very much an obstacle","Somewhat of an obstacle","Very much an obstacle","Very useful","Somewhat useful","Somewhat useful","Very useful","Somewhat useful","Somewhat useful","Very useful","Very useful","Strategy & organisational oversight,Program, policy & external affairs,Fundraising & grants,Operations","","EN",267.666666666667,FALSE
